epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
50,521726,0.10999,0.53589,1,1.27503,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149
51,526882,0.10677,0.52703,1,1.30051,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
52,567547,0.107,0.5232,1,1.31576,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951
53,570611,0.10862,0.51128,1,1.36207,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
54,573138,0.10489,0.5066,1,1.3832,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753
55,575819,0.10361,0.51341,1,1.37971,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
56,578006,0.10227,0.5255,1,1.35869,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555
57,580780,0.10221,0.53521,1,1.33469,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
58,583685,0.10459,0.53231,1,1.33629,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357
59,586237,0.10033,0.53836,1,1.29893,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258
60,589090,0.1016,0.54338,1,1.27217,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159
61,591976,0.09822,0.54738,1,1.26158,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
62,594694,0.09584,0.55104,1,1.23865,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961
63,598104,0.09661,0.55377,1,1.21766,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
64,601629,0.09398,0.55802,1,1.21701,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763
65,605106,0.09279,0.55658,1,1.23554,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
66,609172,0.09334,0.56254,1,1.21203,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565
67,611261,0.08859,0.57633,1,1.16331,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
68,614356,0.08923,0.58851,1,1.09746,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367
69,659109,0.08724,0.60009,1,1.05974,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268
70,663022,0.08655,0.61269,1,1.04092,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169
71,666532,0.08575,0.62299,1,1.01954,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
72,670194,0.08596,0.62452,1,1.01727,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971
73,674011,0.08419,0.63176,1,1.00576,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872
74,677394,0.08087,0.62835,1,1.02586,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773
75,680214,0.08121,0.62665,1,1.0182,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674
76,682628,0.07976,0.62767,1,1.02093,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575
77,685098,0.077,0.62427,1,1.03601,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476
78,690151,0.07576,0.61933,1,1.0542,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377
79,693685,0.07405,0.61805,1,1.05281,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278
80,697290,0.07415,0.62571,1,1.02157,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179
81,700472,0.07231,0.62835,1,1.00562,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
82,704007,0.06931,0.63091,1,1.00236,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981
83,729434,0.07049,0.63321,1,0.98559,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882
