epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,3811.1,0.60577,0.3675,1,1.62335,0.0099945,0.0033315,0.0099945,0.0033315,0.0099945,0.0033315,0.0099945,0.0033315
2,7368.56,0.3357,0.33979,1,2.28579,0.0190048,0.00633492,0.0190048,0.00633492,0.0190048,0.00633492,0.0190048,0.00633492
3,9703.38,0.28508,0.5026,1,1.71969,0.027025,0.00900835,0.027025,0.00900835,0.027025,0.00900835,0.027025,0.00900835
4,12475.2,0.26199,0.39406,1,1.7725,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
5,14769.7,0.22148,0.50708,1,2.13921,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
6,17506.9,0.20338,0.43948,1,2.23102,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
7,20039.6,0.19076,0.44708,1,2.67408,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
8,22855.5,0.17583,0.43385,1,2.69767,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
9,26504.8,0.16588,0.44646,1,2.20687,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
10,30954.2,0.159,0.33125,1,2.42479,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545
11,79125.9,0.15071,0.34885,1,2.35438,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
12,81354.4,0.14237,0.35198,1,2.31893,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555
13,83514.5,0.1327,0.37396,1,2.87237,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
14,86005.2,0.1284,0.36625,1,2.95878,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565
15,88648.3,0.121,0.36,1,2.95952,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
16,91215.7,0.11244,0.35927,1,2.97618,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575
17,93673.7,0.10336,0.38521,1,2.88036,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
18,96277.3,0.09816,0.40938,1,2.84776,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585
19,99229.6,0.09124,0.42667,1,2.78057,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109
20,102991,0.08497,0.43417,1,2.73551,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595
