epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,3806.15,0.61174,0.34385,1,2.2428,0.00999342,0.00333114,0.00999342,0.00333114,0.00999342,0.00333114,0.00999342,0.00333114
2,6822.98,0.34066,0.42203,1,2.5042,0.0190037,0.00633458,0.0190037,0.00633458,0.0190037,0.00633458,0.0190037,0.00633458
3,8878.74,0.29354,0.36016,1,2.15672,0.0270241,0.00900802,0.0270241,0.00900802,0.0270241,0.00900802,0.0270241,0.00900802
4,10936.2,0.26732,0.30458,1,2.30242,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
5,12832.4,0.22182,0.3637,1,2.40915,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
6,14847.7,0.19901,0.35021,1,2.18906,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
7,16740.6,0.18468,0.38427,1,3.50635,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
8,18318.8,0.1709,0.39281,1,2.23146,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
9,20057,0.16343,0.39911,1,2.10763,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
10,22367.7,0.15073,0.42792,1,2.12282,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545
11,24135.2,0.1469,0.40583,1,2.14419,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
12,25735.6,0.13555,0.38641,1,2.56276,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555
13,27307.2,0.13189,0.40938,1,2.21108,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
