epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,3602.67,0.57517,0.33452,1,1.7263,0.00999373,0.00333124,0.00999373,0.00333124,0.00999373,0.00333124,0.00999373,0.00333124
2,6317.41,0.30804,0.32315,1,2.33403,0.019004,0.00633468,0.019004,0.00633468,0.019004,0.00633468,0.019004,0.00633468
3,8512.08,0.26865,0.43411,1,2.02169,0.0270243,0.00900812,0.0270243,0.00900812,0.0270243,0.00900812,0.0270243,0.00900812
4,11789,0.23693,0.42595,1,2.01788,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
5,14512.5,0.19529,0.33595,1,2.20433,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
6,17850.4,0.17745,0.35089,1,2.46847,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
7,23292.6,0.16085,0.36196,1,1.97641,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
8,25946.4,0.15257,0.34524,1,2.47991,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
9,28734.2,0.1454,0.39571,1,2.45708,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
10,46571.8,0.13235,0.39065,1,2.7954,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545
11,48121.7,0.12461,0.39173,1,2.19688,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
12,107588,0.11614,0.46976,1,2.47282,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555
13,109107,0.11296,0.46,1,2.1758,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
14,111715,0.10438,0.45851,1,2.27055,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565
15,138000,0.09765,0.43089,1,2.36038,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
16,140758,0.09091,0.4256,1,2.49074,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575
17,143457,0.08812,0.40524,1,2.51482,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
18,150830,0.07955,0.39946,1,2.54672,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585
19,153135,0.07248,0.3906,1,2.63225,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109
20,154960,0.06595,0.38464,1,2.6777,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595
